1928,TRTVXLR128F423F8E8,The Memphis Jug Band,Lindberg Hop,https://api.spotify.com/v1/search?q=The%20Memphis%20Jug%20Band%20Lindberg%20Hop%20&type=track
1929,TRLJGBI128F935F361,Bessie Smith,Nobody Knows You When You're Down And Out,https://api.spotify.com/v1/search?q=Bessie%20Smith%20Nobody%20Knows%20You%20When%20You're%20Down%20And%20Out%20&type=track
1970,TRPUQBW128F931B0C0,Black Sabbath,Hand Of Doom,https://api.spotify.com/v1/search?q=Black%20Sabbath%20Hand%20Of%20Doom%20&type=track
1980,TRFBRYW128F92F955D,Au Pairs,Diet,https://api.spotify.com/v1/search?q=Au%20Pairs%20Diet%20&type=track
1980,TRGDFNC128F426C422,Al DiMeola,Isfahan,https://api.spotify.com/v1/search?q=Al%20DiMeola%20Isfahan%20&type=track
2000,TRBAWGO128E078EA7B,98Âº,Always You And I,https://api.spotify.com/v1/search?q=98Âº%20Always%20You%20And%20I%20&type=track
1990,TRWWOWR128F9341E98,Adriana Calcanhotto,PÃ£o Doce,https://api.spotify.com/v1/search?q=Adriana%20Calcanhotto%20PÃ£o%20Doce%20&type=track
1960,TRAVBSG128F92F9BE0,Cliff Richard & The Shadows,You And I (Mono) (1998 Digital Remaster),https://api.spotify.com/v1/search?q=Cliff%20Richard%20&%20The%20Shadows%20You%20And%20I%20(Mono)%20(1998%20Digital%20Remaster)%20&type=track
1953,TRUVASE12903CDC7E0,Eartha Kitt,Angelitos Negros,https://api.spotify.com/v1/search?q=Eartha%20Kitt%20Angelitos%20Negros%20&type=track
1937,TRIHYZK128F931FAFA,Django Reinhardt,Parfum,https://api.spotify.com/v1/search?q=Django%20Reinhardt%20Parfum%20&type=track
1970,TRAQNMV128F149BAEF,Alive 'N Kickin',Kentucky Fire (LP Version),https://api.spotify.com/v1/search?q=Alive%20'N%20Kickin'%20Kentucky%20Fire%20(LP%20Version)%20&type=track
1990,TRSVRIL128F9341D47,Anita Baker,More Than You Know (LP Version),https://api.spotify.com/v1/search?q=Anita%20Baker%20More%20Than%20You%20Know%20(LP%20Version)%20&type=track
1970,TRCCKCM128F424322C,Bee Gees,2 Years On (Album Version),https://api.spotify.com/v1/search?q=Bee%20Gees%202%20Years%20On%20(Album%20Version)%20&type=track
1980,TRDZRQE128F425CD0C,Alton Ellis,Inside My Soul,https://api.spotify.com/v1/search?q=Alton%20Ellis%20Inside%20My%20Soul%20&type=track
1960,TRBUCIY128F422B984,Etta James,At Last,https://api.spotify.com/v1/search?q=Etta%20James%20At%20Last%20&type=track
